TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                     
-------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
_CORRIGECNPJ                                                                                                                     CNPJ                                                                                                                            
_CORRIGECNPJ                                                                                                                     LOJAID                                                                                                                          
_CORRIGECNPJ                                                                                                                     NOVOCNPJ                                                                                                                        
_NOVOSCLIPROMO                                                                                                                   Ativo                                                                                                                           
_NOVOSCLIPROMO                                                                                                                   Cep                                                                                                                             
_NOVOSCLIPROMO                                                                                                                   Cidade                                                                                                                          
_NOVOSCLIPROMO                                                                                                                   cnpj_atual                                                                                                                      
_NOVOSCLIPROMO                                                                                                                   CPF                                                                                                                             
_NOVOSCLIPROMO                                                                                                                   DatadeNascimento                                                                                                                
_NOVOSCLIPROMO                                                                                                                   DataExpedicao                                                                                                                   
_NOVOSCLIPROMO                                                                                                                   DataNascimento                                                                                                                  
_NOVOSCLIPROMO                                                                                                                   DDD                                                                                                                             
_NOVOSCLIPROMO                                                                                                                   DescricaoUsuario                                                                                                                
_NOVOSCLIPROMO                                                                                                                   DSexo                                                                                                                           
_NOVOSCLIPROMO                                                                                                                   Email                                                                                                                           
_NOVOSCLIPROMO                                                                                                                   EstadoCivil                                                                                                                     
_NOVOSCLIPROMO                                                                                                                   Id                                                                                                                              
_NOVOSCLIPROMO                                                                                                                   IdAnt                                                                                                                           
_NOVOSCLIPROMO                                                                                                                   Identidade                                                                                                                      
_NOVOSCLIPROMO                                                                                                                   login_bak                                                                                                                       
_NOVOSCLIPROMO                                                                                                                   Logradouro                                                                                                                      
_NOVOSCLIPROMO                                                                                                                   Nacionalidade                                                                                                                   
_NOVOSCLIPROMO                                                                                                                   Naturalidade                                                                                                                    
_NOVOSCLIPROMO                                                                                                                   NOME                                                                                                                            
_NOVOSCLIPROMO                                                                                                                   OrgaoEmissor                                                                                                                    
_NOVOSCLIPROMO                                                                                                                   origem                                                                                                                          
_NOVOSCLIPROMO                                                                                                                   SCep                                                                                                                            
_NOVOSCLIPROMO                                                                                                                   sexo                                                                                                                            
_NOVOSCLIPROMO                                                                                                                   Status                                                                                                                          
_NOVOSCLIPROMO                                                                                                                   Telefone                                                                                                                        
_NOVOSCLIPROMO                                                                                                                   UF                                                                                                                              
AdesaoLojas                                                                                                                      AtividadePrinc                                                                                                                  
AdesaoLojas                                                                                                                      Bairro                                                                                                                          
AdesaoLojas                                                                                                                      Categoria                                                                                                                       
AdesaoLojas                                                                                                                      Cep                                                                                                                             
AdesaoLojas                                                                                                                      Cidade                                                                                                                          
AdesaoLojas                                                                                                                      Cnpj                                                                                                                            
AdesaoLojas                                                                                                                      Complemento                                                                                                                     
AdesaoLojas                                                                                                                      Contato                                                                                                                         
AdesaoLojas                                                                                                                      DDD                                                                                                                             
AdesaoLojas                                                                                                                      Descricao                                                                                                                       
AdesaoLojas                                                                                                                      Email                                                                                                                           
AdesaoLojas                                                                                                                      Facebook                                                                                                                        
AdesaoLojas                                                                                                                      FaceButom                                                                                                                       
AdesaoLojas                                                                                                                      Fidelidade                                                                                                                      
AdesaoLojas                                                                                                                      Folowup                                                                                                                         
AdesaoLojas                                                                                                                      Id                                                                                                                              
AdesaoLojas                                                                                                                      IdAdesao                                                                                                                        
AdesaoLojas                                                                                                                      idLocal                                                                                                                         
AdesaoLojas                                                                                                                      idOrigem                                                                                                                        
AdesaoLojas                                                                                                                      Localidade                                                                                                                      
AdesaoLojas                                                                                                                      Logradouro                                                                                                                      
AdesaoLojas                                                                                                                      Mapa                                                                                                                            
AdesaoLojas                                                                                                                      MapaButom                                                                                                                       
AdesaoLojas                                                                                                                      Numero                                                                                                                          
AdesaoLojas                                                                                                                      Obs                                                                                                                             
AdesaoLojas                                                                                                                      P1                                                                                                                              
AdesaoLojas                                                                                                                      P2                                                                                                                              
AdesaoLojas                                                                                                                      P3                                                                                                                              
AdesaoLojas                                                                                                                      P4                                                                                                                              
AdesaoLojas                                                                                                                      P5                                                                                                                              
AdesaoLojas                                                                                                                      ResponsavelInterno                                                                                                              
AdesaoLojas                                                                                                                      Segmentacao                                                                                                                     
AdesaoLojas                                                                                                                      Site                                                                                                                            
AdesaoLojas                                                                                                                      SiteButom                                                                                                                       
AdesaoLojas                                                                                                                      StatusLoja                                                                                                                      
AdesaoLojas                                                                                                                      TelCelular                                                                                                                      
AdesaoLojas                                                                                                                      Telefone                                                                                                                        
AdesaoLojas                                                                                                                      TpReg                                                                                                                           
AdesaoLojas                                                                                                                      UF                                                                                                                              
AdesaoLojas                                                                                                                      WhatsApp                                                                                                                        
AdesaoLojas                                                                                                                      WhatsButom                                                                                                                      
AdesaoLojasFollowUP                                                                                                              Acao                                                                                                                            
AdesaoLojasFollowUP                                                                                                              DataAgenda                                                                                                                      
AdesaoLojasFollowUP                                                                                                              DescricaoFU                                                                                                                     
AdesaoLojasFollowUP                                                                                                              Folowup                                                                                                                         
AdesaoLojasFollowUP                                                                                                              IdAdesao                                                                                                                        
AdesaoLojasFollowUP                                                                                                              IdFUAdesao                                                                                                                      
AdesaoLojasFollowUP                                                                                                              IdFUAdesaoOrigem                                                                                                                
AdesaoLojasFollowUP                                                                                                              ResponsavelInterno                                                                                                              
AdesaoLojasFollowUP                                                                                                              ResponsavelIntOrig                                                                                                              
AdesaoLojasFollowUP                                                                                                              Resultado                                                                                                                       
AdesaoLojasFollowUP                                                                                                              SetorAcao                                                                                                                       
AdesaoLojasFollowUP                                                                                                              Situacao                                                                                                                        
AdesaoLojasFollowUP                                                                                                              Urgencia                                                                                                                        
AdesaoLojasPgtos                                                                                                                 AtivadoEm                                                                                                                       
AdesaoLojasPgtos                                                                                                                 CodPgto                                                                                                                         
AdesaoLojasPgtos                                                                                                                 DataPgto                                                                                                                        
AdesaoLojasPgtos                                                                                                                 DescricaoPG                                                                                                                     
AdesaoLojasPgtos                                                                                                                 IdAdesao                                                                                                                        
AdesaoLojasPgtos                                                                                                                 IdFUAdesaoOrigem                                                                                                                
